name,year,selling_price,price,transmission,owner
Honda City i DTEC SV,2015,625000,41250,Manual,First Owner
Honda City i DTec V,2014,560000,36960,Manual,First Owner
Honda City i DTEC VX,2015,630000,41580,Manual,First Owner
Honda City i DTEC VX,2014,819999,54120,Manual,First Owner
Honda City i DTEC VX Option,2015,750000,49500,Manual,First Owner
Honda City i VTEC CVT SV,2016,750000,49500,Automatic,First Owner
Honda City i VTEC CVT VX,2014,635000,41910,Automatic,First Owner
Honda City i VTEC CVT VX,2017,1100000,72600,Automatic,First Owner
Honda City i VTEC CVT VX,2015,950000,62700,Automatic,First Owner
Honda City i VTEC E,2014,650000,42900,Manual,First Owner
Honda City i VTEC S,2015,600000,39600,Manual,First Owner
Honda City i VTEC SV,2016,575000,37950,Manual,First Owner
Honda City i VTEC SV,2015,575000,37950,Manual,First Owner
Honda City i VTEC V,2017,850000,56100,Manual,First Owner
Honda City i VTEC V,2015,700000,46200,Manual,First Owner
Honda City i VTEC VX,2018,925000,61050,Manual,First Owner
Honda City i VTEC VX,2014,725000,47850,Manual,First Owner
Honda City i VTEC VX,2015,900000,59400,Manual,First Owner
Honda City i VTEC VX,2016,773000,51018,Manual,First Owner
Honda City i VTEC VX,2017,890000,58740,Manual,First Owner
Honda City i VTEC VX Option,2015,800000,52800,Manual,First Owner
Honda City i VTEC VX Option,2016,750000,49500,Manual,First Owner
Honda City i VTEC VX Option BL,2016,925000,61050,Manual,First Owner
Honda City i-DTEC V,2019,1200000,79200,Manual,First Owner
Honda City i-DTEC VX,2017,1300000,85800,Manual,First Owner
Honda City i-DTEC VX,2018,1031000,68046,Manual,First Owner
Honda City i-DTEC VX,2019,1110000,73260,Manual,First Owner
Honda City i-DTEC ZX,2017,1050000,69300,Manual,First Owner
Honda City i-VTEC CVT V,2018,1085000,71610,Automatic,First Owner
Honda City i-VTEC CVT VX,2017,795000,52470,Automatic,First Owner
Honda City i-VTEC CVT ZX,2019,1227000,80982,Automatic,First Owner
Honda City i-VTEC CVT ZX,2017,1100000,72600,Automatic,First Owner
Honda City i-VTEC V,2018,949000,62634,Manual,First Owner
Honda City i-VTEC V,2011,325000,21450,Manual,First Owner
Honda City i-VTEC VX,2017,950000,62700,Manual,First Owner
Honda City i-VTEC VX,2018,1180000,77880,Manual,First Owner
Honda City S,2012,428000,28248,Manual,First Owner
Honda City V AT,2017,875000,57750,Automatic,First Owner
Honda City V MT,2013,425000,28050,Manual,First Owner
Honda City V MT,2012,550000,36300,Manual,First Owner
Honda City V MT,2010,285000,18810,Manual,First Owner
Honda City VX CVT,2019,1300000,85800,Automatic,First Owner
Honda Civic 1.8 S AT,2007,175000,11550,Automatic,First Owner
Honda Civic 1.8 V AT,2007,350000,23100,Automatic,First Owner
Honda Civic 1.8 V MT,2009,240000,15840,Manual,First Owner
Honda Civic 1.8 V MT Inspire,2011,350000,23100,Manual,First Owner
Honda Civic ZX Diesel BSIV,2020,2125000,140250,Manual,First Owner
Honda CR-V 2.0L 2WD AT,2016,1350000,89100,Automatic,First Owner
Honda CR-V 2.4L 4WD AT,2012,750000,49500,Automatic,First Owner
Honda CR-V 2.4L 4WD AT AVN,2017,1750000,115500,Automatic,First Owner
Honda CR-V 2.4L 4WD MT,2008,400000,26400,Manual,First Owner
Honda Jazz 1.2 S AT i VTEC,2016,600000,39600,Automatic,First Owner
Honda Jazz 1.2 S i VTEC,2015,480000,31680,Manual,First Owner
Honda Jazz 1.2 SV i VTEC,2015,610000,40260,Manual,First Owner
Honda Jazz 1.2 V AT i VTEC,2015,600000,39600,Automatic,First Owner
Honda Jazz 1.2 V AT i VTEC Privilege,2017,615000,40590,Automatic,First Owner
Honda Jazz 1.2 V i VTEC,2016,625000,41250,Manual,First Owner
Honda Jazz 1.2 V i VTEC,2018,680000,44880,Manual,First Owner
Honda Jazz 1.2 V i VTEC,2017,650000,42900,Manual,First Owner
Honda Jazz 1.2 VX i VTEC,2016,484999,32010,Manual,First Owner
Honda Jazz 1.2 VX i VTEC,2018,675000,44550,Manual,First Owner
Honda Jazz 1.2 VX i VTEC,2015,700000,46200,Manual,First Owner
Honda Jazz 1.5 E i DTEC,2016,425000,28050,Manual,First Owner
Honda Jazz 1.5 S i DTEC,2017,670000,44220,Manual,First Owner
Honda Jazz 1.5 S i DTEC,2018,650000,42900,Manual,First Owner
Honda Jazz 1.5 V i DTEC,2016,500000,33000,Manual,First Owner
Honda Jazz 1.5 V i DTEC,2015,600000,39600,Manual,First Owner
Honda Jazz 1.5 VX i DTEC,2016,650000,42900,Manual,First Owner
Honda Jazz 1.5 VX i DTEC,2015,525000,34650,Manual,First Owner
Honda Jazz Basic,2011,339000,22374,Manual,First Owner
Honda Jazz V,2018,600000,39600,Manual,First Owner
Honda Jazz V CVT,2017,725000,47850,Automatic,First Owner
Honda Jazz V CVT,2018,860000,56760,Automatic,First Owner
Honda Jazz V Diesel,2017,525000,34650,Manual,First Owner
Honda Jazz VX,2016,550000,36300,Manual,First Owner
Honda Jazz VX CVT,2019,840000,55440,Automatic,First Owner
Honda Jazz VX Diesel,2015,525000,34650,Manual,First Owner
Honda Mobilio S i DTEC,2015,670000,44220,Manual,First Owner
Honda Mobilio S i VTEC,2017,600000,39600,Manual,First Owner
Honda Mobilio V i DTEC,2014,490000,32340,Manual,First Owner
Honda Mobilio V i VTEC,2015,500000,33000,Manual,First Owner
Honda WR-V i-DTEC S,2017,700000,46200,Manual,First Owner
Honda WR-V i-DTEC VX,2017,950000,62700,Manual,First Owner
Honda WR-V i-DTEC VX,2018,1035000,68310,Manual,First Owner
Honda WR-V i-DTEC VX,2019,1000000,66000,Manual,First Owner
Honda WR-V i-VTEC S,2017,700000,46200,Manual,First Owner
Honda WR-V i-VTEC S,2018,780000,51480,Manual,First Owner
Honda WR-V i-VTEC VX,2017,720000,47520,Manual,First Owner
Honda WR-V i-VTEC VX,2018,850000,56100,Manual,First Owner
Honda WR-V i-VTEC VX,2019,580000,38280,Manual,First Owner
Hyundai Accent Executive,2011,250000,16500,Manual,First Owner
Hyundai Accent Executive,2013,172000,11352,Manual,First Owner
Hyundai Accent Executive CNG,2012,275000,18150,Manual,First Owner
Hyundai Accent Executive LPG,2010,165000,10890,Manual,First Owner
Hyundai Accent GLE,2005,150000,9900,Manual,First Owner
Hyundai Creta 1.4 CRDi Base,2017,950000,62700,Manual,First Owner
Hyundai Creta 1.4 CRDi S,2018,1050000,69300,Manual,First Owner
Hyundai Creta 1.4 CRDi S,2019,1050000,69300,Manual,First Owner
Hyundai Creta 1.4 CRDi S,2016,825000,54450,Manual,First Owner
Hyundai Creta 1.4 CRDi S,2017,1100000,72600,Manual,First Owner
Hyundai Creta 1.4 CRDi S Plus,2018,1210000,79860,Manual,First Owner
Hyundai Creta 1.4 CRDi S Plus,2017,1125000,74250,Manual,First Owner
Hyundai Creta 1.4 CRDi S Plus,2016,950000,62700,Manual,First Owner
Hyundai Creta 1.4 E Plus,2018,946000,62436,Manual,First Owner
Hyundai Creta 1.4 E Plus,2019,950000,62700,Manual,First Owner
Hyundai Creta 1.4 EX Diesel,2019,1000000,66000,Manual,First Owner
Hyundai Creta 1.4 EX Diesel,2020,1050000,69300,Manual,First Owner
Hyundai Creta 1.6 CRDi Anniversary Edition,2016,819999,54120,Manual,First Owner
Hyundai Creta 1.6 CRDi Anniversary Edition,2015,1300000,85800,Manual,First Owner
Hyundai Creta 1.6 CRDi AT S Plus,2017,1143000,75438,Automatic,First Owner
Hyundai Creta 1.6 CRDi AT SX Plus,2017,1100000,72600,Automatic,First Owner
Hyundai Creta 1.6 CRDi AT SX Plus,2020,1950000,128700,Automatic,First Owner
Hyundai Creta 1.6 CRDi AT SX Plus,2015,1050000,69300,Automatic,First Owner
Hyundai Creta 1.6 CRDi AT SX Plus,2018,1150000,75900,Automatic,First Owner
Hyundai Creta 1.6 CRDi AT SX Plus,2016,1050000,69300,Automatic,First Owner
Hyundai Creta 1.6 CRDi SX,2016,1140000,75240,Manual,First Owner
Hyundai Creta 1.6 CRDi SX,2017,1050000,69300,Manual,First Owner
Hyundai Creta 1.6 CRDi SX,2015,978999,64614,Manual,First Owner
Hyundai Creta 1.6 CRDi SX,2018,1237000,81642,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Option,2015,750000,49500,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Option,2017,1250000,82500,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Option,2016,1100000,72600,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Plus,2016,1100000,72600,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Plus,2017,1200000,79200,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Plus,2015,900000,59400,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,1100000,72600,Manual,First Owner
Hyundai Creta 1.6 Gamma SX Plus,2015,900000,59400,Manual,First Owner
Hyundai Creta 1.6 SX,2018,1200000,79200,Manual,First Owner
Hyundai Creta 1.6 SX Automatic,2018,1350000,89100,Automatic,First Owner
Hyundai Creta 1.6 SX Automatic,2016,890000,58740,Automatic,First Owner
Hyundai Creta 1.6 SX Automatic Diesel,2015,910000,60060,Automatic,First Owner
Hyundai Creta 1.6 SX Diesel,2017,975000,64350,Manual,First Owner
Hyundai Creta 1.6 SX Option,2019,1150000,75900,Manual,First Owner
Hyundai Creta 1.6 SX Option,2018,1175000,77550,Manual,First Owner
Hyundai Creta 1.6 SX Option Executive,2018,1405000,92730,Manual,First Owner
Hyundai Creta 1.6 VTVT E Plus,2016,700000,46200,Manual,First Owner
Hyundai Creta 1.6 VTVT E Plus,2017,875000,57750,Manual,First Owner
Hyundai Creta 1.6 VTVT S,2016,800000,52800,Manual,First Owner
Hyundai Elantra CRDi SX,2013,700000,46200,Manual,First Owner
Hyundai Elantra CRDi SX,2015,900000,59400,Manual,First Owner
Hyundai Elantra CRDi SX Option AT,2013,650000,42900,Automatic,First Owner
Hyundai Elantra GLS,2006,140000,9240,Automatic,First Owner
Hyundai Elantra S,2016,805000,53130,Manual,First Owner
Hyundai Elantra SX,2012,550000,36300,Manual,First Owner
Hyundai Elantra SX AT,2013,690000,45540,Automatic,First Owner
Hyundai Elite i20 Asta Option BSIV,2019,800000,52800,Manual,First Owner
Hyundai Elite i20 Asta Option CVT BSIV,2018,890000,58740,Automatic,First Owner
Hyundai Elite i20 Asta Option Diesel,2019,850000,56100,Manual,First Owner
Hyundai Elite i20 Asta Option Diesel,2018,850000,56100,Manual,First Owner
Hyundai Elite i20 Diesel Sportz,2019,700000,46200,Manual,First Owner
Hyundai Elite i20 Diesel Sportz,2018,750000,49500,Manual,First Owner
Hyundai Elite i20 Magna Plus BSIV,2019,610000,40260,Manual,First Owner
Hyundai Elite i20 Petrol Asta,2014,470000,31020,Manual,First Owner
Hyundai Elite i20 Petrol Asta,2019,700000,46200,Manual,First Owner
Hyundai Elite i20 Petrol Asta Option,2019,750000,49500,Manual,First Owner
Hyundai Elite i20 Petrol Asta Option,2018,700000,46200,Manual,First Owner
Hyundai Elite i20 Petrol CVT Magna Executive,2019,585000,38610,Automatic,First Owner
Hyundai Elite i20 Petrol Magna Exective,2019,590000,38940,Manual,First Owner
Hyundai Elite i20 Petrol Sportz,2018,650000,42900,Manual,First Owner
Hyundai Elite i20 Petrol Sportz,2019,667000,44022,Manual,First Owner
Hyundai Elite i20 Sportz Plus BSIV,2020,720000,47520,Manual,First Owner
Hyundai Elite i20 Sportz Plus BSIV,2019,693000,45738,Manual,First Owner
Hyundai Elite i20 Sportz Plus CVT BSIV,2019,720000,47520,Automatic,First Owner
Hyundai Elite i20 Sportz Plus Diesel,2019,834000,55044,Manual,First Owner
Hyundai Elite i20 Sportz Plus Diesel,2018,750000,49500,Manual,First Owner
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,685000,45210,Manual,First Owner
Hyundai EON 1.0 Era Plus,2017,300000,19800,Manual,First Owner
Hyundai EON 1.0 Era Plus,2018,330000,21780,Manual,First Owner
Hyundai EON 1.0 Era Plus,2016,276000,18216,Manual,First Owner
Hyundai EON 1.0 Kappa Magna Plus,2014,220000,14520,Manual,First Owner
Hyundai EON 1.0 Magna Plus Option O,2016,280000,18480,Manual,First Owner
Hyundai EON D Lite,2012,170000,11220,Manual,First Owner
Hyundai EON D Lite Plus,2015,210000,13860,Manual,First Owner
Hyundai EON D Lite Plus,2016,270000,17820,Manual,First Owner
Hyundai EON D Lite Plus,2017,270000,17820,Manual,First Owner
Hyundai EON D Lite Plus,2014,215000,14190,Manual,First Owner
Hyundai EON D Lite Plus,2012,140000,9240,Manual,First Owner
Hyundai EON D Lite Plus Option,2016,220000,14520,Manual,First Owner
Hyundai EON Era,2011,160000,10560,Manual,First Owner
Hyundai EON Era,2014,225000,14850,Manual,First Owner
Hyundai EON Era,2012,190000,12540,Manual,First Owner
Hyundai EON Era,2013,250000,16500,Manual,First Owner
Hyundai EON Era Plus,2013,180000,11880,Manual,First Owner
Hyundai EON Era Plus,2015,235000,15510,Manual,First Owner
Hyundai EON Era Plus,2016,250000,16500,Manual,First Owner
Hyundai EON Era Plus,2017,300000,19800,Manual,First Owner
Hyundai EON Era Plus,2018,299000,19734,Manual,First Owner
Hyundai EON LPG Era Plus,2012,222000,14652,Manual,First Owner
Hyundai EON Magna Plus,2014,250000,16500,Manual,First Owner
Hyundai EON Magna Plus,2013,200000,13200,Manual,First Owner
Hyundai EON Magna Plus,2016,340000,22440,Manual,First Owner
Hyundai EON Magna Plus,2018,325000,21450,Manual,First Owner
Hyundai EON Magna Plus Option,2012,250000,16500,Manual,First Owner
Hyundai EON Sportz,2017,300000,19800,Manual,First Owner
Hyundai EON Sportz,2018,444000,29304,Manual,First Owner
Hyundai EON Sportz,2011,180000,11880,Manual,First Owner
Hyundai EON Sportz,2016,300000,19800,Manual,First Owner
Hyundai EON Sportz,2012,150000,9900,Manual,First Owner
Hyundai Getz GLS,2005,65000,4290,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,2019,750000,49500,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,2018,710000,46860,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,2017,550000,36300,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Magna,2016,409999,27060,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Sportz,2018,520000,34320,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,29700,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Sportz Option,2018,550000,36300,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Sportz Option,2017,600000,39600,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,2018,590000,38940,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,2017,500000,33000,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,2013,420000,27720,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Era,2017,430000,28380,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Magna AT,2018,580000,38280,Automatic,First Owner
Hyundai Grand i10 1.2 Kappa Magna AT,2019,550000,36300,Automatic,First Owner
Hyundai Grand i10 1.2 Kappa Magna AT,2017,525000,34650,Automatic,First Owner
Hyundai Grand i10 1.2 Kappa Magna AT,2016,475000,31350,Automatic,First Owner
Hyundai Grand i10 1.2 Kappa Magna BSIV,2018,450000,29700,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Magna BSIV,2017,525000,34650,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz AT,2017,550000,36300,Automatic,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018,580000,38280,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,600000,39600,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2017,570000,37620,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019,585000,38610,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2017,500000,33000,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2018,570000,37620,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz Option,2018,500000,33000,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz Option,2017,530000,34980,Manual,First Owner
Hyundai Grand i10 Asta,2015,434999,28710,Manual,First Owner
Hyundai Grand i10 Asta,2016,550000,36300,Manual,First Owner
Hyundai Grand i10 Asta Option,2016,450000,29700,Manual,First Owner
Hyundai Grand i10 Asta Option,2017,550000,36300,Manual,First Owner
Hyundai Grand i10 Asta Option,2014,375000,24750,Manual,First Owner
Hyundai Grand i10 AT Asta,2015,465000,30690,Automatic,First Owner
Hyundai Grand i10 AT Sportz,2014,374000,24684,Automatic,First Owner
Hyundai Grand i10 CRDi Asta Option,2013,270000,17820,Manual,First Owner
Hyundai Grand i10 CRDi Magna,2014,400000,26400,Manual,First Owner
Hyundai Grand i10 CRDi Magna,2016,480000,31680,Manual,First Owner
Hyundai Grand i10 CRDi Sportz,2016,480000,31680,Manual,First Owner
Hyundai Grand i10 CRDi Sportz,2014,350000,23100,Manual,First Owner
Hyundai Grand i10 Magna,2015,425000,28050,Manual,First Owner
Hyundai Grand i10 Magna,2017,445000,29370,Manual,First Owner
Hyundai Grand i10 Magna,2016,400000,26400,Manual,First Owner
Hyundai Grand i10 Magna AT,2019,625000,41250,Automatic,First Owner
Hyundai Grand i10 Nios AMT Sportz,2020,675000,44550,Automatic,First Owner
Hyundai Grand i10 Nios Sportz,2019,550000,36300,Manual,First Owner
Hyundai Grand i10 Nios Sportz,2020,775000,51150,Manual,First Owner
Hyundai Grand i10 Sportz,2017,450000,29700,Manual,First Owner
Hyundai Grand i10 Sportz,2016,400000,26400,Manual,First Owner
Hyundai Grand i10 Sportz,2015,411000,27126,Manual,First Owner
Hyundai Grand i10 Sportz Celebration Edition,2016,480000,31680,Manual,First Owner
Hyundai i10 Era,2010,210000,13860,Manual,First Owner
Hyundai i10 Era 1.1,2012,290000,19140,Manual,First Owner
Hyundai i10 Era 1.1 iTech SE,2010,275000,18150,Manual,First Owner
Hyundai i10 Magna,2008,220000,14520,Manual,First Owner
Hyundai i10 Magna,2012,250000,16500,Manual,First Owner
Hyundai i10 Magna,2013,229999,15180,Manual,First Owner
Hyundai i10 Magna,2015,280000,18480,Manual,First Owner
Hyundai i10 Magna 1.1L,2008,229999,15180,Manual,First Owner
Hyundai i10 Magna 1.1L,2013,310000,20460,Manual,First Owner
Hyundai i10 Magna 1.1L,2012,225000,14850,Manual,First Owner
Hyundai i10 Magna 1.1L,2014,300000,19800,Manual,First Owner
Hyundai i10 Magna 1.1L,2016,380000,25080,Manual,First Owner
Hyundai i10 Magna 1.2 iTech SE,2014,275000,18150,Manual,First Owner
Hyundai i10 Magna 1.2 iTech SE,2010,180000,11880,Manual,First Owner
Hyundai i10 Magna 1.2 iTech SE,2011,250000,16500,Manual,First Owner
Hyundai i10 Magna 1.2 iTech SE,2013,375000,24750,Manual,First Owner
Hyundai i10 Magna LPG,2012,350000,23100,Manual,First Owner
Hyundai i10 Sportz,2009,215000,14190,Manual,First Owner
Hyundai i10 Sportz,2014,300000,19800,Manual,First Owner
Hyundai i10 Sportz,2011,250000,16500,Manual,First Owner
Hyundai i10 Sportz,2012,280000,18480,Manual,First Owner
Hyundai i10 Sportz 1.1L,2011,200000,13200,Manual,First Owner
Hyundai i10 Sportz 1.1L,2015,360000,23760,Manual,First Owner
Hyundai i10 Sportz 1.1L,2016,425000,28050,Manual,First Owner
Hyundai i10 Sportz 1.1L LPG,2015,375000,24750,Manual,First Owner
Hyundai i10 Sportz 1.2,2013,291000,19206,Manual,First Owner
Hyundai i10 Sportz 1.2 AT,2010,258000,17028,Automatic,First Owner
Hyundai i10 Sportz AT,2013,290000,19140,Automatic,First Owner
Hyundai i10 Sportz AT,2011,265000,17490,Automatic,First Owner
Hyundai i10 Sportz Option,2012,300000,19800,Manual,First Owner
Hyundai i20 1.2 Asta,2010,300000,19800,Manual,First Owner
Hyundai i20 1.2 Asta,2018,700000,46200,Manual,First Owner
Hyundai i20 1.2 Asta,2017,610000,40260,Manual,First Owner
Hyundai i20 1.2 Asta,2019,721000,47586,Manual,First Owner
Hyundai i20 1.2 Asta Dual Tone,2018,730000,48180,Manual,First Owner
Hyundai i20 1.2 Asta Option,2018,801000,52866,Manual,First Owner
Hyundai i20 1.2 Asta Option,2017,650000,42900,Manual,First Owner
Hyundai i20 1.2 Magna,2011,350000,23100,Manual,First Owner
Hyundai i20 1.2 Magna Executive,2017,570000,37620,Manual,First Owner
Hyundai i20 1.2 Magna Executive,2014,415000,27390,Manual,First Owner
Hyundai i20 1.2 Sportz,2011,315000,20790,Manual,First Owner
Hyundai i20 1.2 Sportz,2013,425000,28050,Manual,First Owner
Hyundai i20 1.2 Sportz,2014,440000,29040,Manual,First Owner
Hyundai i20 1.2 Spotz,2018,570000,37620,Manual,First Owner
Hyundai i20 1.2 Spotz,2017,550000,36300,Manual,First Owner
Hyundai i20 1.4 Asta,2017,750000,49500,Manual,First Owner
Hyundai i20 1.4 Asta Dual Tone,2017,750000,49500,Manual,First Owner
Hyundai i20 1.4 Asta Option,2017,725000,47850,Manual,First Owner
Hyundai i20 1.4 Asta Option,2018,825000,54450,Manual,First Owner
Hyundai i20 1.4 CRDi Magna,2017,675000,44550,Manual,First Owner
Hyundai i20 1.4 CRDi Sportz,2011,350000,23100,Manual,First Owner
Hyundai i20 1.4 CRDi Sportz,2012,350000,23100,Manual,First Owner
Hyundai i20 1.4 Magna AT,2018,700000,46200,Automatic,First Owner
Hyundai i20 1.4 Sportz,2018,780000,51480,Manual,First Owner
Hyundai i20 2015-2017 Asta 1.2,2016,630000,41580,Manual,First Owner
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,44880,Manual,First Owner
Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,800000,52800,Manual,First Owner
Hyundai i20 2015-2017 Asta Option 1.2,2016,650000,42900,Manual,First Owner
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2016,725000,47850,Manual,First Owner
Hyundai i20 2015-2017 Magna 1.2,2016,520000,34320,Manual,First Owner
Hyundai i20 2015-2017 Magna 1.2,2017,600000,39600,Manual,First Owner
Hyundai i20 2015-2017 Magna 1.4 CRDi,2016,650000,42900,Manual,First Owner
Hyundai i20 2015-2017 Sportz 1.2,2016,500000,33000,Manual,First Owner
Hyundai i20 2015-2017 Sportz 1.4 CRDi,2017,575000,37950,Manual,First Owner
Hyundai i20 2015-2017 Sportz 1.4 CRDi,2014,484999,32010,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.2,2015,480000,31680,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2012,415000,27390,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2015,650000,42900,Manual,First Owner
Hyundai i20 Active 1.2,2015,525000,34650,Manual,First Owner
Hyundai i20 Active 1.2,2018,530000,34980,Manual,First Owner
Hyundai i20 Active 1.2 S,2015,500000,33000,Manual,First Owner
Hyundai i20 Active 1.2 S,2017,600000,39600,Manual,First Owner
Hyundai i20 Active 1.2 S,2016,600000,39600,Manual,First Owner
Hyundai i20 Active 1.2 SX,2015,500000,33000,Manual,First Owner
Hyundai i20 Active 1.2 SX,2018,620000,40920,Manual,First Owner
Hyundai i20 Active 1.2 SX Dual Tone,2016,600000,39600,Manual,First Owner
Hyundai i20 Active 1.4,2015,500000,33000,Manual,First Owner
Hyundai i20 Active 1.4,2016,580000,38280,Manual,First Owner
Hyundai i20 Active 1.4 SX,2015,600000,39600,Manual,First Owner
Hyundai i20 Active 1.4 SX,2017,650000,42900,Manual,First Owner
Hyundai i20 Active 1.4 SX,2016,660000,43560,Manual,First Owner
Hyundai i20 Active 1.4 SX Dual Tone,2016,800000,52800,Manual,First Owner
Hyundai i20 Active 1.4 SX with AVN,2017,715000,47190,Manual,First Owner
Hyundai i20 Active Base Petrol,2015,500000,33000,Manual,First Owner
Hyundai i20 Active S Diesel,2018,800000,52800,Manual,First Owner
Hyundai i20 Active S Petrol,2019,800000,52800,Manual,First Owner
Hyundai i20 Active SX Diesel,2018,750000,49500,Manual,First Owner
Hyundai i20 Active SX Diesel,2016,651000,42966,Manual,First Owner
Hyundai i20 Active SX Petrol,2019,650000,42900,Manual,First Owner
Hyundai i20 Asta (o),2010,350000,23100,Manual,First Owner
Hyundai i20 Asta (o),2017,600000,39600,Manual,First Owner
Hyundai i20 Asta 1.2,2015,630000,41580,Manual,First Owner
Hyundai i20 Asta 1.2,2013,360000,23760,Manual,First Owner
Hyundai i20 Asta 1.2,2018,700000,46200,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,2013,425000,28050,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,2012,525000,34650,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,2016,700000,46200,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi (Diesel),2010,340000,22440,Manual,First Owner
Hyundai i20 Asta Option 1.2,2016,540000,35640,Manual,First Owner
Hyundai i20 Asta Option 1.2,2015,495000,32670,Manual,First Owner
Hyundai i20 Asta Option 1.2,2017,595000,39270,Manual,First Owner
Hyundai i20 Asta Option 1.2,2019,785000,51810,Manual,First Owner
Hyundai i20 Asta Option 1.4 CRDi,2015,650000,42900,Manual,First Owner
Hyundai i20 Asta Option 1.4 CRDi,2016,575000,37950,Manual,First Owner
Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,34650,Manual,First Owner
Hyundai i20 Diesel Asta Option,2014,550000,36300,Manual,First Owner
Hyundai i20 Era 1.4 CRDi,2016,570000,37620,Manual,First Owner
Hyundai i20 Era Diesel,2009,340000,22440,Manual,First Owner
Hyundai i20 Magna,2010,270000,17820,Manual,First Owner
Hyundai i20 Magna,2012,335000,22110,Manual,First Owner
Hyundai i20 Magna 1.2,2015,600000,39600,Manual,First Owner
Hyundai i20 Magna 1.2,2014,425000,28050,Manual,First Owner
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,29832,Manual,First Owner
Hyundai i20 Magna Optional 1.2,2012,380000,25080,Manual,First Owner
Hyundai i20 Magna Optional 1.4 CRDi,2013,345000,22770,Manual,First Owner
Hyundai i20 Petrol CVT Asta,2018,750000,49500,Automatic,First Owner
Hyundai i20 Sportz 1.2,2013,375000,24750,Manual,First Owner
Hyundai i20 Sportz 1.2,2014,320000,21120,Manual,First Owner
Hyundai i20 Sportz 1.2,2012,300000,19800,Manual,First Owner
Hyundai i20 Sportz 1.2,2015,480000,31680,Manual,First Owner
Hyundai i20 Sportz 1.2,2016,590000,38940,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,2012,335000,22110,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,2014,451000,29766,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,2016,650000,42900,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,2015,650000,42900,Manual,First Owner
Hyundai i20 Sportz Diesel,2010,225000,14850,Manual,First Owner
Hyundai i20 Sportz Option 1.2,2015,550000,36300,Manual,First Owner
Hyundai i20 Sportz Option 1.4 CRDi,2015,600000,39600,Manual,First Owner
Hyundai Santa Fe 2WD MT,2014,1100000,72600,Manual,First Owner
Hyundai Santro Asta BSIV,2018,540000,35640,Manual,First Owner
Hyundai Santro Era,2019,399000,26334,Manual,First Owner
Hyundai Santro LP - Euro II,2002,56000,3696,Manual,First Owner
Hyundai Santro Magna,2019,434999,28710,Manual,First Owner
Hyundai Santro Magna,2020,500000,33000,Manual,First Owner
Hyundai Santro Magna AMT BSIV,2019,499000,32934,Automatic,First Owner
